REF.,DESCRIÇÃO,Grupo,Sub Grupo,Marca/ Fornec,Cor,Tamanho,Un,CUSTO,Unitário,ETIQ.,TIPO,,,,STATUS_DOWNLOAD,QTD_IMAGENS
1149,"TAPETE RASCHEL 1,00X1,40 - P",ENXOVAL,TAPETE,Sultan,PADRÃO,P,Un,"R$30,87"," R$ 95,00 ", SIM , TAG,,,,OK,5
1150,"TAPETE RASCHEL 1,40X2,00 - M",ENXOVAL,TAPETE,Sultan,PADRÃO,M,Un,"R$61,61"," R$ 185,00 ", SIM , TAG,,,,OK,5
1151,"PASSADEIRA RASCHEL 0,6X2,0M",ENXOVAL,TAPETE,Sultan,PADRÃO,PADRÃO,Un,"R$37,58"," R$ 115,00 ", SIM , TAG,,,,OK,5
1153,"TAPETE SPAZIO 1,40 X 2M",ENXOVAL,TAPETE,Sultan,PADRÃO,PADRÃO,Un,"R$56,52"," R$ 170,00 ", SIM , TAG,,,,OK,5
1154,"PASSADEIRA SPAZIO 0,6X2,0M",ENXOVAL,TAPETE,Sultan,PADRÃO,PADRÃO,Un,"R$34,26"," R$ 115,00 ", SIM , TAG,,,,OK,5
1155,LENCOL 3PCS SOLTEIRO,ENXOVAL,CAMA,Sultan,PADRÃO,SOLTEIRO,JG,"R$0,00"," R$ 110,00 ", SIM, ADESIVA,,,,OK,5
1158,XUPA XANA/ROLA BEIJAVEL,SEXSHOP,SEX/ COSM,HOT FLOWERS,PADRÃO,PADRÃO,UN,"R$7,09"," R$ 28,00 ", SIM, ADESIVA,,,,OK,5
1159,KIT SKINCARE,COSMETICO,COSM/HIGIENE,RHENUKS,PADRÃO,PADRÃO,Un,"R$19,00"," R$ 76,00 ", SIM, ADESIVA,,,,OK,5
1160,LIP BALM GLOSS MEL,COSMETICO,COSM/LABIAL,,PADRÃO,PADRÃO,Un,"R$7,50"," R$ 30,00 ", SIM, ADESIVA,,,,OK,5
1161,KIT  SALÃO EM CASA,COSMETICO,COSM/CAPIILAR,RHENUKS,PADRÃO,PADRÃO,Un,"R$24,00"," R$ 96,00 ", SIM, ADESIVA,,,,OK,5
1164,GEL 17 ERVAS MASSAGEM,COSMETICO,COSM/MASSAGEM,BELL CORPUS,PADRÃO ,PADRÃO,Un,"R$3,50"," R$ 16,90 ", SIM, ADESIVA,,,,OK,5
1167,LENCOL KING 4 PC SONHARE,ENXOVAL,CAMA ,Sultan,PADRÃO,PADRÃO,JG,"R$182,89"," R$ 540,00 ", SIM , ADESIVA,,,,OK,5
1168,LENCOL SOLTEIRO 3PC REALCE,ENXOVAL,CAMA ,Sultan,PADRÃO,PADRÃO,JG,"R$45,34"," R$ 136,00 ", SIM , ADESIVA,,,,OK,5
1169,PLUG ANAL ACO TAM. P,SEXSHOP,SEX/ PLUG,,PADRÃO,PADRÃO,Un,"R$9,88"," R$ 40,00 ", SIM, ADESIVA,,,,OK,5
1170,MINI FANTASIA,SEXSHOP,SEX/ FANTASIA,,PADRÃO,PADRÃO,JG,"R$10,00"," R$ 40,00 ", SIM, ADESIVA,,,,OK,5
1171,LACRADINHA GEL,SEXSHOP,SEX/ COSM,,PADRÃO,PADRÃO,Un,"R$6,50"," R$ 25,00 ", SIM, ADESIVA,,,,OK,5
1173,"CORTINA BLACKOUT VOIL 3X2,6",ENXOVAL,DECORAÇÃO,,PADRÃO,PADRÃO,Un,"R$72,00"," R$ 220,00 ", SIM, ADESIVA,,,,OK,5
